phenomenon,model,layer,control,spearman,p
role_reversal,gpt2,12,abs_length_delta,0.13035707248163717,4.059850624400697e-07
role_reversal,gpt2,0,edit_distance,0.1365483538808162,1.1024611223542844e-07
role_reversal,gpt2,1,edit_distance,0.11085169740487912,1.685344060396189e-05
role_reversal,gpt2,2,edit_distance,0.10363925641270781,5.784880861346942e-05
role_reversal,gpt2,3,edit_distance,0.15475726945548926,1.690483178454343e-09
role_reversal,gpt2,4,edit_distance,0.18333154678422758,8.354671946924703e-13
role_reversal,gpt2,5,edit_distance,0.2230854381712123,2.264595455579997e-18
role_reversal,gpt2,6,edit_distance,0.21456547498535433,4.4198245025990074e-17
role_reversal,gpt2,7,edit_distance,0.20795751868847925,4.0668164971547994e-16
role_reversal,gpt2,8,edit_distance,0.2151939553520131,3.5649848665776544e-17
role_reversal,gpt2,9,edit_distance,0.2128533834739508,7.910784096674272e-17
role_reversal,gpt2,10,edit_distance,0.21441494231232683,4.6528611537358243e-17
role_reversal,gpt2,11,edit_distance,0.1865428178357538,3.2704665491172647e-13
role_reversal,gpt2,12,edit_distance,0.026221535113054716,0.3101613346387568
role_reversal,gpt2,0,lexical_jaccard,-0.6085580255089919,1.1436907353875073e-152
role_reversal,gpt2,1,lexical_jaccard,-0.6011961000457056,4.288661985267431e-148
role_reversal,gpt2,2,lexical_jaccard,-0.5929720075038829,4.0089387745047394e-143
role_reversal,gpt2,3,lexical_jaccard,-0.5239960966770606,1.5107902409600424e-106
role_reversal,gpt2,4,lexical_jaccard,-0.4560567030825193,6.370935885558295e-78
role_reversal,gpt2,5,lexical_jaccard,-0.38551282165818923,2.4481463574628027e-54
