phenomenon,model,layer,metric,n,raw_spearman,raw_p,surface_controlled_spearman,surface_controlled_p
negation,roberta-base,3,delta_l2,1500,-0.01565705894588257,0.5445632946474717,-0.04454608960002066,0.08458506734400821
negation,roberta-base,4,delta_l2,1500,-0.04385368862877979,0.0895366523142627,-0.06520501518031857,0.011538180305115938
negation,roberta-base,5,delta_l2,1500,-0.04022587773489376,0.11940566879598764,-0.056217058032488366,0.02946683745195924
negation,roberta-base,6,delta_l2,1500,-0.06454219520064708,0.012411210448290704,-0.07569868170436443,0.00335095580262533
negation,roberta-base,7,delta_l2,1500,-0.05325422445195458,0.03918191749079608,-0.065758422556685,0.01085142948714029
negation,roberta-base,8,delta_l2,1500,-0.05117857276190713,0.04750342712315522,-0.060925246224498804,0.018282330553722827
negation,roberta-base,9,delta_l2,1500,-0.0367675106977968,0.1546510380197954,-0.04650768238492881,0.07174898310866262
negation,roberta-base,10,delta_l2,1500,-0.04841180517654254,0.06085917236588922,-0.05461385792018136,0.034429875519748375
negation,roberta-base,11,delta_l2,1500,-0.010108049969866613,0.6956740034973713,-0.024006577467448394,0.35282195769527086
negation,roberta-base,12,delta_l2,1500,-0.004263815580116587,0.8689440210473564,-0.026426894719011308,0.30638605179095085
negation,roberta-base,0,delta_token_aligned,1500,-0.014557202089639237,0.5731912329742042,0.03420722044305064,0.18546219867243002
negation,roberta-base,1,delta_token_aligned,1500,0.009335341106991062,0.7179031003542253,0.008678648786341643,0.7369849357861895
negation,roberta-base,2,delta_token_aligned,1500,0.03203844273500931,0.2149282508975922,0.01916991436173983,0.4581498543453555
negation,roberta-base,3,delta_token_aligned,1500,-0.017822723367136466,0.4903511374029897,-0.011269302712169447,0.6627582207708944
negation,roberta-base,4,delta_token_aligned,1500,-0.047128304228096406,0.068036698944636,-0.0322617353360346,0.21174736253109822
negation,roberta-base,5,delta_token_aligned,1500,-0.06603672586821827,0.010519982680381786,-0.05200967257367386,0.04400850066362299
negation,roberta-base,6,delta_token_aligned,1500,-0.0738746913327846,0.004200726118476274,-0.061031334239650514,0.01808043588754486
negation,roberta-base,7,delta_token_aligned,1500,-0.09476168313188113,0.00023755364460152352,-0.08558170876300342,0.0009069995388042803
negation,roberta-base,8,delta_token_aligned,1500,-0.09888940602561072,0.00012496110897801494,-0.09028635258818385,0.0004634941495022806
negation,roberta-base,9,delta_token_aligned,1500,-0.10823356485967087,2.6606901070100542e-05,-0.09593887652037911,0.00019828979964297045
negation,roberta-base,10,delta_token_aligned,1500,-0.09467927942983011,0.00024055871329563147,-0.08371125485249875,0.0011740227931132537
negation,roberta-base,11,delta_token_aligned,1500,-0.09314981893301144,0.00030322850783342267,-0.0865189070494266,0.000795485656759429
negation,roberta-base,12,delta_token_aligned,1500,-0.08433953482583968,0.0010771500361130763,-0.07533644704972024,0.0035061004895237447
role_reversal,bert-base-uncased,0,delta_cos,1500,0.21857961011366103,1.1070252173413133e-17,0.13957420064401502,5.706350679990283e-08
role_reversal,bert-base-uncased,1,delta_cos,1500,0.21447655452242925,4.5560520879947364e-17,0.14359021313812398,2.329529587571567e-08
role_reversal,bert-base-uncased,2,delta_cos,1500,0.23629638632840205,1.7637054079645808e-20,0.16831994640133446,5.365345299046056e-11
role_reversal,bert-base-uncased,3,delta_cos,1500,0.265089273201246,1.5326178352835344e-25,0.20221635517754952,2.6345340521093264e-15
role_reversal,bert-base-uncased,4,delta_cos,1500,0.3119430513830242,3.283809596269693e-35,0.261150347150071,8.245775467960865e-25
role_reversal,bert-base-uncased,5,delta_cos,1500,0.31472258115624474,7.661186903079115e-36,0.2662060662943839,9.461910402022789e-26
role_reversal,bert-base-uncased,6,delta_cos,1500,0.32260090865524926,1.1370636221350396e-37,0.2750768527719613,1.8906382791992223e-27
role_reversal,bert-base-uncased,7,delta_cos,1500,0.32412574712765146,4.960440897299855e-38,0.27673994156913073,8.931301584933824e-28
role_reversal,bert-base-uncased,8,delta_cos,1500,0.32776368242252013,6.723612404200351e-39,0.28165529359902336,9.442576515434205e-29
role_reversal,bert-base-uncased,9,delta_cos,1500,0.3297652364592596,2.2131319456824685e-39,0.28460854647362666,2.394639274407673e-29
role_reversal,bert-base-uncased,10,delta_cos,1500,0.28140495229530466,1.059909831886137e-28,0.23070290738251312,1.4298598583116276e-19
role_reversal,bert-base-uncased,11,delta_cos,1500,0.26516519156815177,1.4832930730068846e-25,0.2141007672490571,5.1789257406677333e-17
