pair_id,phenomenon,model,dataset_path,layer,pooling,delta_cos,sim_frob,delta_frob,delta_l2,delta_token_aligned,token_count_s,token_count_cf,length_delta,lexical_jaccard,edit_distance,split,template_id
attach_000007,attachment,bert-base-uncased,data/css_pairs/attach_pilot_100.jsonl,8,mean_non_special,0.09697079658508301,0.8928206842347755,0.10717931576522455,5.994396686553955,0.239327073097229,8,9,1,0.3,32,train,attach_pp_v01
attach_000007,attachment,bert-base-uncased,data/css_pairs/attach_pilot_100.jsonl,9,mean_non_special,0.08951741456985474,0.8967822516188547,0.10321774838114528,5.2548723220825195,0.25083786249160767,8,9,1,0.3,32,train,attach_pp_v01
attach_000007,attachment,bert-base-uncased,data/css_pairs/attach_pilot_100.jsonl,10,mean_non_special,0.07556098699569702,0.9144799684621573,0.08552003153784271,5.3293280601501465,0.24037568569183348,8,9,1,0.3,32,train,attach_pp_v01
attach_000007,attachment,bert-base-uncased,data/css_pairs/attach_pilot_100.jsonl,11,mean_non_special,0.07357364892959595,0.9210059993801644,0.07899400061983564,5.309424877166748,0.21415716409683228,8,9,1,0.3,32,train,attach_pp_v01
attach_000007,attachment,bert-base-uncased,data/css_pairs/attach_pilot_100.jsonl,12,mean_non_special,0.09915494918823242,0.8864878745276631,0.11351212547233691,4.269588470458984,0.20936483144760132,8,9,1,0.3,32,train,attach_pp_v01
attach_000008,attachment,bert-base-uncased,data/css_pairs/attach_pilot_100.jsonl,0,mean_non_special,0.019411087036132812,0.945864677366753,0.05413532263324705,1.4719054698944092,0.08426669239997864,8,8,0,0.5,28,train,attach_pp_v01
attach_000008,attachment,bert-base-uncased,data/css_pairs/attach_pilot_100.jsonl,1,mean_non_special,0.017244935035705566,0.9627355118374862,0.03726448816251382,1.853665828704834,0.09371442596117656,8,8,0,0.5,28,train,attach_pp_v01
attach_000008,attachment,bert-base-uncased,data/css_pairs/attach_pilot_100.jsonl,2,mean_non_special,0.016893088817596436,0.9748050199071365,0.025194980092863473,2.127307891845703,0.09392995635668437,8,8,0,0.5,28,train,attach_pp_v01
attach_000008,attachment,bert-base-uncased,data/css_pairs/attach_pilot_100.jsonl,3,mean_non_special,0.016811132431030273,0.9726286760064493,0.02737132399355069,2.077090263366699,0.09650713205337524,8,8,0,0.5,28,train,attach_pp_v01
attach_000008,attachment,bert-base-uncased,data/css_pairs/attach_pilot_100.jsonl,4,mean_non_special,0.017138779163360596,0.9705988836153966,0.02940111638460341,2.469160318374634,0.13721820712089539,8,8,0,0.5,28,train,attach_pp_v01
attach_000008,attachment,bert-base-uncased,data/css_pairs/attach_pilot_100.jsonl,5,mean_non_special,0.018706023693084717,0.9723717258342641,0.027628274165735878,2.808443546295166,0.13079381982485452,8,8,0,0.5,28,train,attach_pp_v01
attach_000008,attachment,bert-base-uncased,data/css_pairs/attach_pilot_100.jsonl,6,mean_non_special,0.023611366748809814,0.9667575349234245,0.03324246507657547,3.2841243743896484,0.15169759591420492,8,8,0,0.5,28,train,attach_pp_v01
attach_000008,attachment,bert-base-uncased,data/css_pairs/attach_pilot_100.jsonl,7,mean_non_special,0.03191244602203369,0.958685806382233,0.041314193617767,3.7405271530151367,0.15629233916600546,8,8,0,0.5,28,train,attach_pp_v01
attach_000008,attachment,bert-base-uncased,data/css_pairs/attach_pilot_100.jsonl,8,mean_non_special,0.03685867786407471,0.9547726893387634,0.04522731066123664,3.8950812816619873,0.192101260026296,8,8,0,0.5,28,train,attach_pp_v01
attach_000008,attachment,bert-base-uncased,data/css_pairs/attach_pilot_100.jsonl,9,mean_non_special,0.037884533405303955,0.9536945715011753,0.046305428498824686,3.6682910919189453,0.19021118680636087,8,8,0,0.5,28,train,attach_pp_v01
attach_000008,attachment,bert-base-uncased,data/css_pairs/attach_pilot_100.jsonl,10,mean_non_special,0.03255718946456909,0.9635348693246814,0.03646513067531865,3.8332102298736572,0.16692026456197104,8,8,0,0.5,28,train,attach_pp_v01
attach_000008,attachment,bert-base-uncased,data/css_pairs/attach_pilot_100.jsonl,11,mean_non_special,0.028600454330444336,0.9695936801441066,0.03040631985589337,3.5920066833496094,0.1419114669164022,8,8,0,0.5,28,train,attach_pp_v01
attach_000008,attachment,bert-base-uncased,data/css_pairs/attach_pilot_100.jsonl,12,mean_non_special,0.04597073793411255,0.9424929110997,0.057507088900299985,2.9653124809265137,0.20811056097348532,8,8,0,0.5,28,train,attach_pp_v01
attach_000009,attachment,bert-base-uncased,data/css_pairs/attach_pilot_100.jsonl,0,mean_non_special,0.06725871562957764,0.9440382243714662,0.05596177562853377,2.667250871658325,0.01206352881022862,8,9,1,0.625,5,train,attach_pp_v01
attach_000009,attachment,bert-base-uncased,data/css_pairs/attach_pilot_100.jsonl,1,mean_non_special,0.049272775650024414,0.9492337449836977,0.050766255016302275,3.142256498336792,0.017816926751817976,8,9,1,0.625,5,train,attach_pp_v01
attach_000009,attachment,bert-base-uncased,data/css_pairs/attach_pilot_100.jsonl,2,mean_non_special,0.042814433574676514,0.9522245393101563,0.04777546068984373,3.3740077018737793,0.024289309978485107,8,9,1,0.625,5,train,attach_pp_v01
attach_000009,attachment,bert-base-uncased,data/css_pairs/attach_pilot_100.jsonl,3,mean_non_special,0.04359942674636841,0.9510798391483872,0.04892016085161277,3.3190388679504395,0.026357523032597134,8,9,1,0.625,5,train,attach_pp_v01
attach_000009,attachment,bert-base-uncased,data/css_pairs/attach_pilot_100.jsonl,4,mean_non_special,0.0375940203666687,0.9536178689049952,0.046382131095004775,3.5607049465179443,0.033269175461360385,8,9,1,0.625,5,train,attach_pp_v01
attach_000009,attachment,bert-base-uncased,data/css_pairs/attach_pilot_100.jsonl,5,mean_non_special,0.03627115488052368,0.95649905436044,0.043500945639559974,3.8169257640838623,0.03650529895509992,8,9,1,0.625,5,train,attach_pp_v01
attach_000009,attachment,bert-base-uncased,data/css_pairs/attach_pilot_100.jsonl,6,mean_non_special,0.04399293661117554,0.9470488570495279,0.052951142950472097,4.307927131652832,0.048415916306631904,8,9,1,0.625,5,train,attach_pp_v01
attach_000009,attachment,bert-base-uncased,data/css_pairs/attach_pilot_100.jsonl,7,mean_non_special,0.04809612035751343,0.9439309878776558,0.056069012122344164,4.433967113494873,0.052731377737862725,8,9,1,0.625,5,train,attach_pp_v01
attach_000009,attachment,bert-base-uncased,data/css_pairs/attach_pilot_100.jsonl,8,mean_non_special,0.060144782066345215,0.9328276866451543,0.06717231335484575,4.736767292022705,0.06805941888264247,8,9,1,0.625,5,train,attach_pp_v01
attach_000009,attachment,bert-base-uncased,data/css_pairs/attach_pilot_100.jsonl,9,mean_non_special,0.06125897169113159,0.9329642611458708,0.06703573885412917,4.401010513305664,0.07431703805923462,8,9,1,0.625,5,train,attach_pp_v01
attach_000009,attachment,bert-base-uncased,data/css_pairs/attach_pilot_100.jsonl,10,mean_non_special,0.05019134283065796,0.9448692822042496,0.055130717795750406,4.57263708114624,0.06795118536267962,8,9,1,0.625,5,train,attach_pp_v01
