phenomenon,probe_name,model,dataset_path,layer,seed,split_type,feature_type,accuracy,macro_f1,auroc,ece,control_accuracy,control_macro_f1,selectivity,n_train,n_dev,n_test,config_sha256
role_reversal,role_probe,bert-base-uncased,data/css_pairs/role_pilot_100.jsonl,8,19,random,span_vector,1.0,1.0,1.0,,0.5125,0.5118134877171022,0.4881865122828978,320,0,80,pending
role_reversal,role_probe,bert-base-uncased,data/css_pairs/role_pilot_100.jsonl,8,23,random,span_vector,1.0,1.0,1.0,,0.5,0.4996873045653534,0.5003126954346466,320,0,80,pending
role_reversal,role_probe,bert-base-uncased,data/css_pairs/role_pilot_100.jsonl,9,11,random,span_vector,1.0,1.0,1.0,,0.575,0.5747342088805503,0.42526579111944973,320,0,80,pending
role_reversal,role_probe,bert-base-uncased,data/css_pairs/role_pilot_100.jsonl,9,13,random,span_vector,1.0,1.0,1.0,,0.5875,0.5869191049913942,0.4130808950086058,320,0,80,pending
role_reversal,role_probe,bert-base-uncased,data/css_pairs/role_pilot_100.jsonl,9,17,random,span_vector,1.0,1.0,1.0,,0.525,0.5247029393370857,0.47529706066291433,320,0,80,pending
role_reversal,role_probe,bert-base-uncased,data/css_pairs/role_pilot_100.jsonl,9,19,random,span_vector,1.0,1.0,1.0,,0.5125,0.5118134877171022,0.4881865122828978,320,0,80,pending
role_reversal,role_probe,bert-base-uncased,data/css_pairs/role_pilot_100.jsonl,9,23,random,span_vector,1.0,1.0,1.0,,0.45,0.44862155388471175,0.5513784461152882,320,0,80,pending
role_reversal,role_probe,bert-base-uncased,data/css_pairs/role_pilot_100.jsonl,10,11,random,span_vector,1.0,1.0,1.0,,0.575,0.575,0.42500000000000004,320,0,80,pending
role_reversal,role_probe,bert-base-uncased,data/css_pairs/role_pilot_100.jsonl,10,13,random,span_vector,1.0,1.0,1.0,,0.5375,0.531571451178984,0.46842854882101603,320,0,80,pending
role_reversal,role_probe,bert-base-uncased,data/css_pairs/role_pilot_100.jsonl,10,17,random,span_vector,1.0,1.0,1.0,,0.5375,0.5356862745098039,0.4643137254901961,320,0,80,pending
role_reversal,role_probe,bert-base-uncased,data/css_pairs/role_pilot_100.jsonl,10,19,random,span_vector,1.0,1.0,1.0,,0.575,0.5739348370927319,0.42606516290726815,320,0,80,pending
role_reversal,role_probe,bert-base-uncased,data/css_pairs/role_pilot_100.jsonl,10,23,random,span_vector,1.0,1.0,1.0,,0.4625,0.46241600250039067,0.5375839974996093,320,0,80,pending
role_reversal,role_probe,bert-base-uncased,data/css_pairs/role_pilot_100.jsonl,11,11,random,span_vector,1.0,1.0,1.0,,0.5,0.4949494949494949,0.5050505050505051,320,0,80,pending
role_reversal,role_probe,bert-base-uncased,data/css_pairs/role_pilot_100.jsonl,11,13,random,span_vector,1.0,1.0,1.0,,0.5125,0.5105882352941176,0.48941176470588243,320,0,80,pending
role_reversal,role_probe,bert-base-uncased,data/css_pairs/role_pilot_100.jsonl,11,17,random,span_vector,1.0,1.0,1.0,,0.5375,0.5368486934751995,0.4631513065248005,320,0,80,pending
role_reversal,role_probe,bert-base-uncased,data/css_pairs/role_pilot_100.jsonl,11,19,random,span_vector,1.0,1.0,1.0,,0.55,0.5454545454545454,0.4545454545454546,320,0,80,pending
role_reversal,role_probe,bert-base-uncased,data/css_pairs/role_pilot_100.jsonl,11,23,random,span_vector,1.0,1.0,1.0,,0.5375,0.5368486934751995,0.4631513065248005,320,0,80,pending
role_reversal,role_probe,bert-base-uncased,data/css_pairs/role_pilot_100.jsonl,12,11,random,span_vector,1.0,1.0,1.0,,0.55,0.549718574108818,0.45028142589118203,320,0,80,pending
role_reversal,role_probe,bert-base-uncased,data/css_pairs/role_pilot_100.jsonl,12,13,random,span_vector,1.0,1.0,1.0,,0.5125,0.5105882352941176,0.48941176470588243,320,0,80,pending
role_reversal,role_probe,bert-base-uncased,data/css_pairs/role_pilot_100.jsonl,12,17,random,span_vector,1.0,1.0,1.0,,0.4875,0.48677828195900485,0.5132217180409951,320,0,80,pending
role_reversal,role_probe,bert-base-uncased,data/css_pairs/role_pilot_100.jsonl,12,19,random,span_vector,1.0,1.0,1.0,,0.5625,0.5591245473153834,0.4408754526846166,320,0,80,pending
role_reversal,role_probe,bert-base-uncased,data/css_pairs/role_pilot_100.jsonl,12,23,random,span_vector,1.0,1.0,1.0,,0.5375,0.5368486934751995,0.4631513065248005,320,0,80,pending
negation,negation_probe,gpt2,data/css_pairs/neg_pilot_100.jsonl,0,11,random,sentence_mean,1.0,1.0,1.0,,0.0,0.0,1.0,80,0,20,pending
negation,negation_probe,gpt2,data/css_pairs/neg_pilot_100.jsonl,0,13,random,sentence_mean,1.0,1.0,1.0,,1.0,1.0,0.0,80,0,20,pending
negation,negation_probe,gpt2,data/css_pairs/neg_pilot_100.jsonl,0,17,random,sentence_mean,1.0,1.0,1.0,,0.0,0.0,1.0,80,0,20,pending
negation,negation_probe,gpt2,data/css_pairs/neg_pilot_100.jsonl,0,19,random,sentence_mean,1.0,1.0,1.0,,0.5,0.3333333333333333,0.6666666666666667,80,0,20,pending
negation,negation_probe,gpt2,data/css_pairs/neg_pilot_100.jsonl,0,23,random,sentence_mean,1.0,1.0,1.0,,1.0,1.0,0.0,80,0,20,pending
negation,negation_probe,gpt2,data/css_pairs/neg_pilot_100.jsonl,1,11,random,sentence_mean,1.0,1.0,1.0,,0.55,0.5396419437340154,0.4603580562659846,80,0,20,pending
negation,negation_probe,gpt2,data/css_pairs/neg_pilot_100.jsonl,1,13,random,sentence_mean,1.0,1.0,1.0,,0.7,0.6875,0.3125,80,0,20,pending
negation,negation_probe,gpt2,data/css_pairs/neg_pilot_100.jsonl,1,17,random,sentence_mean,1.0,1.0,1.0,,0.35,0.3350383631713555,0.6649616368286445,80,0,20,pending
negation,negation_probe,gpt2,data/css_pairs/neg_pilot_100.jsonl,1,19,random,sentence_mean,1.0,1.0,1.0,,0.4,0.3939393939393939,0.6060606060606061,80,0,20,pending
negation,negation_probe,gpt2,data/css_pairs/neg_pilot_100.jsonl,1,23,random,sentence_mean,1.0,1.0,1.0,,0.55,0.5488721804511278,0.45112781954887216,80,0,20,pending
negation,negation_probe,gpt2,data/css_pairs/neg_pilot_100.jsonl,2,11,random,sentence_mean,1.0,1.0,1.0,,0.4,0.3939393939393939,0.6060606060606061,80,0,20,pending
negation,negation_probe,gpt2,data/css_pairs/neg_pilot_100.jsonl,2,13,random,sentence_mean,1.0,1.0,1.0,,0.7,0.6875,0.3125,80,0,20,pending
